Code,Name
III.L,3i Group Plc
ADM.L,Admiral Group
AAF.L,Airtel Africa plc
AAL.L,Anglo American
ANTO.L,Antofagasta plc
AHT.L,Ashtead Group plc
ABF.L,Associated British Foods plc
AZN.L,AstraZeneca plc
AUTO.L,Auto Trader Group plc
AV.L,Aviva Plc
BME.L,B&M European Value Retail SA
BA.L,BAE Systems plc
BARC.L,Barclays plc
BDEV.L,Barratt Developments plc
BEZ.L,Beazley plc
BKG.L,Berkeley Group Holdings plc
BP.L,BP Plc
BATS.L,British American Tobacco plc
BT-A.L,BT Group plc
BNZL.L,Bunzl plc
BRBY.L,Burberry Group plc
CNA.L,Centrica plc
CCH.L,Coca-Cola HBC AG
CPG.L,Compass Group plc
CTEC.L,ConvaTec Group Plc
CRDA.L,Croda International plc
DCC.L,DCC plc
DPH.L,Dechra Pharmaceuticals plc
DGE.L,Diageo plc
DPLM.L,Diploma plc
EDV.L,Endeavour Mining plc
ENT.L,Entain plc
EXPN.L,Experian Plc
FCIT.L,F&C Investment Trust plc
FLTR.L,Flutter Entertainment
FRAS.L,Frasers Group plc
FRES.L,Fresnillo
GLEN.L,Glencore plc
GSK.L,GSK plc
HLN.L,Haleon plc
HLMA.L,Halma plc
HL.L,Hargreaves Lansdown plc
HIK.L,Hikma Pharmaceuticals
HWDN.L,Howden Joinery Group Plc
HSBA.L,HSBC Holdings plc
IMI.L,IMI plc
IMB.L,Imperial Brands Group
INF.L,Informa plc
IHG.L,InterContinental Hotels Group plc
IAG.L,International Consolidated Airlines Group SA
ITRK.L,Intertek Group plc
JD.L,JD Sports Fashion plc
KGF.L,Kingfisher
LAND.L,Land Securities Group plc
LGEN.L,Legal & General Group plc
LLOY.L,Lloyds Banking Group plc
LSEG.L,London Stock Exchange Group plc
MNG.L,M&G plc
MKS.L,Marks & Spencer Group plc
MRO.L,Melrose Industries plc
MNDI.L,Mondi Plc
NG.L,National Grid
NWG.L,NatWest Group plc
NXT.L,Next plc
OCDO.L,Ocado Group plc
PSON.L,Pearson plc
PSH.L,Pershing Square Holdings Ltd
PHNX.L,Phoenix Group Holdings Plc
PRU.L,Prudential plc
RKT.L,Reckitt Benckiser Group Plc
REL.L,RELX plc
RTO.L,Rentokil Initial Plc
RMV.L,Rightmove plc
RIO.L,Rio Tinto plc
RR.L,Rolls Royce Holdings Plc
RS1.L,RS Group plc
SGE.L,Sage Group plc
SBRY.L,Sainsbury (J) plc
SDR.L,Schroders plc
SMT.L,Scottish Mortgage Investment Trust plc
SGRO.L,Segro Plc
SVT.L,Severn Trent Plc
SHEL.L,Shell plc
SN.L,Smith & Nephew plc
SMDS.L,Smith (DS)
SMIN.L,Smiths Group Plc
SKG.L,Smurfit Kappa Group Plc
SPX.L,Spirax-Sarco Engineering plc
SSE.L,SSE plc
STJ.L,St James's Place Plc
STAN.L,Standard Chartered plc
TW.L,Taylor Wimpey plc
TSCO.L,Tesco plc
ULVR.L,Unilever plc
UTG.L,Unite Group
UU.L,United Utilities Group Plc
VOD.L,Vodafone Group plc
WEIR.L,Weir Group plc
WTB.L,Whitbread plc
