Price,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WMT,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WMT,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WMT,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WMT,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WMT,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WMT
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-02,16.75,66.0,12.87,50.01,64.58,68.87,42.74,14.32,69.48,46.3,,107.06,49.08,48.95,119.93,15.45,51.97,32.69,26.4,66.62,51.15,27.76,22.53,22.82,49.84,56.24,45.89,35.87,25.33,18.15,19.61,89.15,12.87,58.75,77.07,93.5,42.79,20.34,110.39,51.1,,131.66,63.48,61.73,187.72,21.38,70.84,44.66,37.6,90.12,79.25,39.45,27.62,25.92,69.39,72.86,54.54,38.85,44.27,23.08,19.82,89.24,12.9,58.95,77.33,94.44,43.49,20.34,110.42,51.25,,131.66,63.71,62.05,187.72,21.38,71.02,45.0,37.6,90.35,79.26,39.95,27.73,26.24,69.39,73.09,55.0,38.99,44.51,23.08,19.34,87.29,12.66,58.31,76.45,92.95,41.72,20.01,108.74,50.64,,129.62,62.61,61.17,185.28,21.05,70.3,44.22,36.66,89.33,78.56,39.06,27.15,25.7,68.35,72.5,54.01,38.48,43.84,22.82,19.78,87.36,12.8,58.33,76.55,92.95,42.94,20.12,110.27,50.8,,131.3,63.57,61.65,185.55,21.15,71.02,44.98,36.99,89.4,78.75,39.94,27.25,26.2,68.65,73.09,54.88,38.54,44.49,22.98,560518000,5772800,65420000,6091400,5036400,11590000,8162800,40304500,6144100,11674700,,4449000,9067200,5463359,4428869,47623000,12874200,31413000,21872400,7377200,3835213,16722831,52899300,7512800,9987000,2886500,5358100,15826400,16483900,31172400
2013-01-03,16.54,65.59,12.92,50.22,64.92,69.53,42.12,14.4,69.19,46.4,,106.48,48.95,49.14,119.27,15.41,51.9,32.63,26.4,67.0,51.09,28.43,22.23,23.05,49.52,56.67,43.75,35.9,25.21,18.03,19.36,88.59,12.92,59.0,77.47,94.4,42.18,20.45,109.92,51.21,,130.94,63.3,61.97,186.68,21.32,70.74,44.57,37.6,90.63,79.16,40.39,27.25,26.18,68.95,73.42,51.99,38.88,44.06,22.93,19.63,89.58,13.04,59.26,77.98,94.99,43.13,20.5,110.92,51.34,,131.78,63.93,62.45,187.66,21.48,71.0,44.75,37.6,90.7,79.37,40.49,27.65,26.3,69.5,73.6,53.52,39.52,44.42,23.12,19.32,88.34,12.82,58.63,76.37,92.89,42.03,20.3,109.51,50.84,,130.07,63.08,61.53,185.89,21.14,70.45,44.2,37.11,90.16,78.7,39.23,27.16,25.89,68.94,72.52,51.85,38.71,43.79,22.79,19.57,89.53,12.86,58.8,76.99,93.22,42.52,20.46,110.14,51.05,,131.7,63.78,61.59,187.07,21.4,70.98,44.74,37.45,90.31,78.88,39.97,27.63,25.98,69.44,72.8,53.44,39.28,44.36,23.08,352965200,3871300,55018000,5017000,3987000,9329000,5707600,50603500,6817000,7566600,,4584600,6056800,3119672,3812356,41054100,9598300,24227700,16357900,5473500,3234702,24673483,48294400,7232200,7741900,2124800,14413200,14937200,11227700,26730300
2013-01-04,16.08,65.87,12.96,50.74,65.1,69.92,42.35,14.42,69.55,47.29,,109.38,48.85,50.14,118.49,15.29,52.5,33.2,26.44,66.42,51.47,28.19,21.81,23.28,49.62,57.17,43.83,36.2,25.35,18.1,18.82,88.98,12.96,59.61,77.69,94.92,42.4,20.48,110.5,52.19,,134.51,63.18,63.24,185.46,21.16,71.55,45.36,37.66,89.85,79.74,40.05,26.74,26.44,69.09,74.06,52.09,39.19,44.3,23.02,19.24,89.28,12.99,59.66,78.02,94.92,42.6,20.68,110.62,52.34,,134.64,63.37,63.35,185.91,21.39,71.73,45.43,37.87,90.79,79.83,40.55,27.34,26.52,69.17,74.19,52.73,39.3,44.36,23.06,18.78,88.42,12.83,58.46,77.44,94.04,42.02,20.39,109.9,51.33,,130.32,63.0,62.21,184.3,21.05,71.01,44.44,37.52,89.67,79.05,39.9,26.73,26.24,68.68,73.36,52.06,38.69,43.75,22.78,19.18,88.59,12.88,59.08,77.79,94.57,42.17,20.41,109.99,51.38,,130.93,63.21,62.21,185.65,21.36,71.24,44.45,37.65,90.62,79.26,40.52,27.27,26.25,69.01,73.5,52.2,38.9,44.04,22.91,594333600,3280500,37484000,4017200,3431700,5658600,3296400,36378900,4414500,8745900,,5234600,4779100,4341758,3535689,30142500,11631800,24487700,15311300,5374100,3235060,16169068,52521100,6794000,5853700,2013300,10458000,10376000,14930400,19314000
2013-01-07,15.98,65.54,13.42,50.96,63.8,70.13,42.19,14.29,69.08,46.19,,109.18,48.59,50.17,117.97,15.35,52.39,33.24,26.19,67.21,51.54,28.29,21.77,23.31,49.28,56.39,43.83,36.45,25.57,17.93,18.71,88.53,13.42,59.86,76.13,95.21,42.24,20.29,109.75,50.97,,134.26,62.84,63.27,184.65,21.25,71.4,45.41,37.3,90.91,79.84,40.19,26.69,26.48,68.62,73.06,52.09,39.47,44.69,22.8,18.9,88.8,13.49,59.99,77.69,95.67,42.32,20.42,110.09,51.76,,134.51,63.0,63.69,185.26,21.45,71.53,45.49,37.52,91.05,80.04,40.26,26.88,26.54,68.92,73.89,52.33,39.69,44.87,22.97,18.4,87.76,13.13,59.28,75.34,94.4,41.69,20.16,109.19,50.66,,132.88,62.38,62.92,183.88,21.18,71.19,45.02,37.1,89.25,79.23,39.93,26.64,26.26,68.38,72.6,51.55,39.2,44.01,22.71,18.64,88.49,13.15,59.28,77.54,94.57,42.32,20.38,110.02,51.76,,134.12,62.6,62.99,184.89,21.28,71.5,45.09,37.52,89.77,79.45,40.11,26.77,26.4,68.92,73.67,51.88,39.24,44.25,22.94,484156400,2573300,98200000,3859400,7172600,5368800,4185600,30790700,4861000,9472100,,3556900,5466500,4473187,2993966,36352100,7548800,24456900,14610200,5820900,3283977,12055773,37110400,6489400,5269800,2207500,7804500,10242400,20891300,18604200
2013-01-08,16.02,65.26,13.32,51.24,62.12,69.24,42.44,14.3,68.77,46.0,,108.19,48.88,49.7,117.8,15.24,52.39,33.31,26.0,67.23,51.54,28.33,21.66,23.07,49.2,56.49,43.25,36.79,24.95,17.97,18.76,88.15,13.32,60.2,74.13,94.0,42.49,20.31,109.26,50.76,,133.05,63.22,62.67,184.39,21.09,71.41,45.5,37.04,90.94,79.85,40.25,26.55,26.2,68.51,73.19,51.4,39.84,43.1,22.86,19.0,88.68,13.45,60.32,75.81,95.19,42.67,20.34,109.69,51.18,,133.95,63.46,63.17,184.8,21.56,71.65,45.5,37.28,90.96,80.06,40.73,26.79,26.47,68.73,73.39,52.24,39.84,44.26,22.96,18.62,87.44,13.18,59.53,73.11,93.57,41.89,20.08,109.1,50.57,,132.7,62.73,62.48,183.17,21.02,71.25,44.96,36.91,89.97,79.52,40.25,26.46,26.09,68.4,72.85,51.36,39.25,43.04,22.74,18.9,88.44,13.35,59.68,75.24,94.67,42.34,20.18,109.48,50.88,,133.71,62.75,63.16,184.44,21.23,71.31,45.4,37.19,90.54,79.57,40.31,26.75,26.36,68.52,72.98,52.0,39.41,44.03,22.76,458707200,5170700,60214000,4960900,20268100,5616100,3953600,33218100,6325400,8637600,,2760200,5433000,3123028,3166137,48672000,9825300,19624200,14324300,6285200,3175978,15458943,44703100,6714200,7362000,1431200,8196200,11800400,21394400,17600700
2013-01-09,15.77,65.64,13.32,51.3,64.32,69.56,42.9,14.3,68.95,46.01,,109.23,48.84,50.3,117.47,15.5,52.63,33.28,26.0,67.13,52.03,28.6,21.78,23.09,49.47,57.07,44.07,37.35,24.89,17.97,18.47,88.67,13.32,60.26,76.76,94.44,42.96,20.3,109.54,50.78,,134.32,63.17,63.44,183.86,21.45,71.73,45.47,37.03,90.81,80.61,40.64,26.7,26.23,68.88,73.94,52.37,40.45,43.0,22.86,18.75,88.92,13.48,60.9,76.81,94.77,43.09,20.54,110.08,51.5,,134.43,63.63,63.44,184.98,21.47,71.85,46.2,37.2,91.24,80.89,40.7,26.75,26.37,69.11,74.13,52.5,40.64,43.19,22.9,18.43,88.21,13.27,60.15,74.91,94.1,42.33,20.25,109.2,50.76,,133.27,63.01,62.8,183.22,21.2,71.5,45.14,36.83,90.36,80.03,40.27,26.56,26.16,68.61,73.32,51.5,39.93,42.76,22.74,18.66,88.34,13.41,60.42,74.92,94.1,42.53,20.26,109.72,50.93,,133.4,63.51,62.97,184.97,21.22,71.64,45.56,37.2,90.8,80.16,40.45,26.72,26.28,68.77,73.42,51.59,40.35,42.84,22.89,407604400,3372500,45312000,5885600,10915800,3546100,3856000,30380100,4558600,8389000,,3666500,4712400,3375501,3359752,34290000,7672800,25920600,10563700,4822100,2822201,10556609,49047900,5530400,5762900,1617100,5154300,17552800,13346700,15165600
2013-01-10,15.97,65.01,13.27,51.75,64.6,70.04,43.22,14.39,69.53,46.02,,111.71,49.19,50.21,117.81,15.75,52.97,33.78,25.95,67.57,52.29,28.73,21.59,23.13,49.75,57.47,44.69,37.06,25.23,17.91,18.7,87.81,13.27,60.79,77.09,95.08,43.28,20.44,110.47,50.79,,137.37,63.62,63.32,184.4,21.8,72.19,46.15,36.96,91.4,81.01,40.82,26.46,26.27,69.27,74.45,53.11,40.13,43.59,22.79,18.88,89.0,13.44,60.79,77.12,95.19,43.46,20.49,110.76,51.24,,138.15,63.62,63.75,184.47,21.82,72.38,46.16,37.17,91.64,81.1,41.17,26.98,26.44,69.29,74.47,53.19,40.69,43.59,23.01,18.41,87.27,13.11,60.09,76.16,94.23,42.46,20.29,110.09,50.59,,134.13,62.78,63.01,182.87,21.53,71.74,45.53,36.76,91.03,80.54,40.79,26.29,26.08,68.68,74.0,52.33,39.82,42.97,22.57,18.88,88.32,13.43,60.44,76.93,95.11,43.15,20.35,110.19,50.87,,135.07,63.38,63.75,184.18,21.61,71.81,45.89,37.12,91.35,80.86,40.91,26.65,26.32,68.98,74.31,52.52,40.51,43.22,22.89,601146000,5861200,57268000,6545300,5026600,4596400,4749200,31419200,5276400,8097400,,5960700,6714100,4637237,3774073,44621600,11888500,23413600,15603700,4393300,3110318,13593084,71431300,7705600,12855000,2358200,6506500,16313600,11214800,34361400
2013-01-11,15.87,64.38,13.4,52.13,62.98,70.12,43.28,14.42,70.33,45.83,,111.51,49.25,50.13,118.77,15.9,53.08,33.77,25.91,67.81,51.96,29.03,21.89,23.38,49.71,57.78,44.45,37.21,25.07,17.99,18.58,86.96,13.4,61.24,75.16,95.19,43.34,20.48,111.73,50.58,,137.13,63.7,63.22,185.9,22.0,72.35,46.14,36.91,91.73,80.5,41.25,26.83,26.55,69.22,74.85,52.82,40.29,43.3,22.88,18.76,88.05,13.42,61.97,76.1,95.39,43.41,20.51,112.08,51.02,,137.17,63.76,63.4,186.42,22.07,72.58,46.15,36.94,91.98,80.82,41.35,26.93,26.71,69.3,74.87,53.4,40.31,43.74,22.93,18.54,86.87,13.21,60.31,74.6,94.12,42.81,20.33,110.8,50.45,,136.13,63.34,63.02,184.42,21.77,72.16,45.47,36.52,91.05,79.61,40.75,26.28,26.16,69.01,74.29,52.33,39.88,43.04,22.74,18.61,87.95,13.26,60.5,75.71,94.56,43.12,20.4,111.2,50.82,,137.02,63.47,63.26,185.61,21.8,72.19,45.97,36.84,91.94,80.13,40.75,26.49,26.33,69.3,74.39,53.4,39.94,43.73,22.87,350506800,4681700,48266000,10492500,9808500,4288500,5296800,23423800,5456300,7149000,,3211700,4567100,2461165,4058898,44944700,7766700,19723900,15644800,3692600,3496984,12722825,55512100,9791000,12193500,1266600,10182500,9578000,11624000,18673500
2013-01-14,15.31,64.35,13.64,52.1,64.15,69.7,43.45,14.77,71.03,45.84,,110.7,49.08,50.47,117.65,15.9,53.24,33.58,25.97,67.66,52.39,29.11,21.94,23.42,50.01,57.85,44.9,37.09,24.66,17.9,17.92,86.92,13.64,61.21,76.55,94.63,43.5,20.97,112.85,50.59,,136.13,63.48,63.65,184.15,22.0,72.56,45.88,36.99,91.53,81.17,41.35,26.89,26.59,69.63,74.95,53.36,40.16,42.59,22.77,18.12,87.25,13.71,61.39,76.59,95.48,43.69,20.99,112.95,50.83,,137.32,63.9,63.65,184.78,22.13,72.79,46.18,37.11,92.12,81.43,41.56,27.08,26.74,69.97,75.14,54.42,40.45,43.09,22.89,17.8,86.5,13.38,60.71,74.9,94.15,43.11,20.65,111.35,50.18,,135.66,63.39,63.04,183.32,21.75,72.37,45.48,36.8,91.43,80.35,41.08,26.76,26.5,69.23,74.58,52.6,39.89,42.49,22.7,17.95,87.17,13.4,60.78,75.23,95.32,43.24,20.68,111.38,50.4,,137.19,63.66,63.3,184.34,21.98,72.6,45.89,36.95,91.76,80.6,41.33,26.9,26.59,69.31,74.87,52.87,40.32,42.92,22.83,734207600,4401000,85500000,5176600,6221100,3685800,3814000,55156900,6373900,9308800,,2855800,4532200,1929577,4364121,35724500,7386000,19079500,11001500,3828100,3100630,11650721,48324400,5591800,11570700,859300,7119900,8877600,15075300,16471200
2013-01-15,14.82,62.99,13.6,51.72,64.47,70.47,43.61,14.78,71.4,46.29,,110.26,49.45,50.56,117.58,15.81,53.1,33.93,26.2,67.65,52.51,28.79,22.2,23.61,50.19,58.32,45.12,37.05,24.3,18.08,17.35,85.08,13.6,60.76,76.94,95.67,43.66,20.98,113.44,51.09,,135.59,63.95,63.76,184.03,21.88,72.37,46.35,37.32,91.51,81.35,40.91,27.21,26.82,69.88,75.56,53.62,40.11,41.97,22.99,17.82,86.86,13.64,60.84,76.98,95.83,43.74,20.99,113.47,51.15,,137.26,64.01,63.85,184.25,22.13,72.44,46.47,37.43,91.63,81.44,41.55,27.29,26.88,69.96,75.71,53.85,40.16,42.56,23.08,17.26,85.0,13.47,60.03,76.18,94.18,42.79,20.78,112.15,50.43,,135.12,63.45,63.09,182.02,21.78,72.0,45.35,36.8,90.86,80.74,40.85,26.83,26.44,69.15,74.51,53.21,39.77,41.96,22.7,17.8,86.56,13.53,60.15,76.21,94.21,43.11,20.92,112.26,50.47,,135.55,63.5,63.18,182.9,21.95,72.25,45.49,36.99,91.11,80.96,41.39,26.83,26.52,69.16,74.69,53.22,39.96,42.46,22.73,876772400,6277900,46538000,6399000,3900600,4789800,4128000,29550900,5637600,7299500,,4322800,5119400,2384595,4364017,33990300,7795100,29898000,12721600,3910400,2519254,12446677,48244500,6507200,7563400,1803100,5802900,6696000,15099600,18421200
2013-01-16,15.44,62.42,13.45,51.6,62.3,70.12,42.35,14.81,71.74,46.69,,114.73,49.38,50.45,117.63,15.98,53.25,34.27,26.2,67.35,52.68,28.57,22.06,23.65,50.2,58.32,45.15,36.99,24.03,18.14,18.07,84.32,13.45,60.62,74.34,95.19,42.41,21.03,113.97,51.53,,141.09,63.86,63.62,184.12,22.11,72.58,46.82,37.32,91.1,81.61,40.59,27.04,26.86,69.34,75.55,53.66,40.05,41.51,23.07,18.19,85.34,13.56,60.85,74.64,95.67,43.68,21.18,114.33,51.78,,141.58,64.0,63.62,184.68,22.2,72.82,46.83,37.42,91.32,81.69,41.07,27.23,27.0,69.7,75.92,53.8,40.19,42.05,23.12,17.59,84.27,13.39,60.48,73.56,94.83,41.82,20.88,113.17,50.8,,137.9,63.55,63.28,182.93,21.85,72.25,45.57,37.12,90.91,81.04,40.55,27.01,26.62,69.11,75.11,53.34,39.83,41.5,22.96,17.67,85.03,13.53,60.82,73.85,95.1,43.5,20.91,113.31,50.85,,138.94,63.64,63.44,183.56,21.91,72.26,45.91,37.21,91.13,81.1,40.93,27.15,26.76,69.42,75.48,53.64,40.03,41.91,22.98,690804800,7753800,41312000,4020900,18212000,3809700,16573600,39685100,6148500,7371800,,10650800,3915400,2187819,3099193,36763700,8779900,43453600,9168000,2925800,2502391,12481156,41077400,5300200,7061000,1238300,6474500,5464400,17451400,14753700
2013-01-17,15.33,62.14,13.52,51.7,63.07,70.49,42.73,14.75,72.22,47.49,,114.67,50.3,50.88,118.28,16.39,53.49,33.99,26.33,67.83,52.93,28.71,22.23,23.54,50.44,58.59,45.78,36.91,24.39,18.04,17.95,83.94,13.52,60.74,75.26,95.7,42.78,20.95,114.74,52.41,,141.01,65.05,64.17,185.13,22.68,72.9,46.44,37.51,91.76,82.01,40.79,27.25,26.74,69.67,75.9,54.4,39.97,42.13,22.95,18.24,84.47,13.6,61.2,75.63,96.29,43.33,21.03,115.86,52.7,,141.95,65.29,64.35,185.91,23.06,73.01,46.87,37.66,92.1,82.36,40.89,27.47,26.99,69.96,76.12,54.53,40.27,42.37,23.11,17.93,83.88,13.46,60.58,72.68,95.09,42.6,20.78,114.59,51.84,,139.62,64.04,63.63,184.74,22.11,72.37,46.29,37.33,91.31,81.53,40.59,27.06,26.66,69.34,75.29,53.17,39.9,41.51,22.9,18.23,84.1,13.57,61.1,72.78,95.71,42.69,20.79,114.73,51.84,,140.89,64.19,63.88,185.33,22.12,72.88,46.4,37.43,91.45,81.76,40.85,27.19,26.9,69.56,75.62,53.76,40.25,41.66,23.1,453678400,6268400,37692000,4684200,21849200,4824100,6331600,41951400,6966000,10132100,,6596000,7796000,2380714,4060154,101020600,10570100,41086800,12121800,4044600,3353464,16255109,51685900,4864800,6263300,1524200,14438900,7833600,14209800,21697800
2013-01-18,15.25,60.77,13.61,50.89,62.88,71.91,42.45,14.8,72.53,47.43,,117.46,50.62,51.26,118.78,15.35,53.73,34.01,26.47,68.2,53.29,28.87,22.23,23.46,50.64,58.9,45.91,36.54,24.63,18.13,17.86,82.08,13.61,59.78,75.04,97.62,42.51,21.02,115.24,52.34,,144.45,65.47,64.65,185.92,21.25,73.23,46.46,37.7,92.26,82.56,41.01,27.25,26.65,69.94,76.31,54.56,39.57,42.54,23.07,17.94,83.87,13.73,60.28,75.16,97.62,43.03,21.04,115.24,52.34,,144.81,65.48,64.65,186.42,21.44,73.23,46.6,37.71,92.3,82.61,41.01,27.29,26.78,70.0,76.67,54.63,39.63,42.54,23.07,17.73,81.58,13.48,58.9,74.29,96.09,41.91,20.81,114.06,51.81,,141.24,64.96,64.01,185.28,21.03,72.79,46.18,37.31,91.85,81.97,40.7,27.04,26.49,69.67,75.95,54.22,39.12,42.07,22.95,17.8,83.81,13.54,59.87,75.16,96.43,42.88,20.85,115.23,52.24,,141.35,65.15,64.33,185.5,21.36,72.9,46.38,37.49,92.07,82.29,40.92,27.1,26.74,69.69,76.09,54.4,39.63,42.2,22.95,472922800,14408700,58840000,9935600,10829000,8330900,6346000,42835000,8538000,8490900,,7349000,6534400,3564095,4769342,143760400,13558600,28679100,14056100,5579900,3812728,17222937,52167700,6145400,10610800,2672100,7023900,13812400,14149500,23440200
2013-01-22,15.4,61.66,13.51,50.56,62.15,71.98,41.67,14.7,72.96,47.78,,118.68,50.84,51.71,119.76,15.3,53.33,34.07,26.07,68.71,53.61,29.01,22.15,23.54,50.65,60.17,47.14,36.72,24.86,18.23,18.03,83.29,13.51,59.4,74.16,97.72,41.72,20.87,115.91,52.73,,145.95,65.75,65.21,187.46,21.17,72.69,46.54,37.13,92.95,83.05,41.22,27.15,26.74,69.95,77.95,56.02,39.76,42.94,23.19,18.14,83.41,13.6,59.9,74.27,97.73,42.57,21.0,115.94,52.8,,146.28,65.99,65.21,187.46,21.29,73.21,46.55,37.74,93.33,83.05,41.24,27.45,26.75,69.98,80.0,56.09,39.92,43.42,23.22,17.74,81.56,13.46,59.01,73.77,96.05,41.53,20.61,114.53,52.18,,143.34,65.22,64.48,185.48,21.03,72.42,46.13,37.05,91.81,82.02,40.66,27.0,26.52,69.75,77.76,54.56,39.44,42.49,22.99,18.02,82.0,13.58,59.62,74.12,96.39,42.51,20.95,115.11,52.39,,144.01,65.39,64.59,185.81,21.28,72.92,46.25,37.74,92.15,82.27,40.81,27.3,26.71,69.86,79.5,54.65,39.67,43.0,23.02,461546400,9394900,42754000,7228400,9161900,8330100,7501600,35955400,5398000,6635200,,5158400,6574000,3821184,7502226,51127400,11469800,24257300,21249400,6967300,3845379,12819765,58650600,6207600,8313600,4917500,9330000,6918000,30231800,17243700
2013-01-23,15.68,61.5,13.41,50.16,62.25,71.34,42.55,14.52,72.39,48.89,,118.37,51.39,51.61,125.04,15.25,53.45,33.84,26.07,69.11,53.7,28.76,22.52,23.37,51.18,59.93,47.05,36.72,24.77,18.21,18.36,83.07,13.41,58.93,74.29,96.85,42.6,20.62,115.01,53.95,,145.56,66.46,65.09,195.72,21.11,72.85,46.23,37.13,93.48,83.19,40.86,27.61,26.55,70.69,77.64,55.91,39.76,42.79,23.16,18.39,84.49,13.55,59.29,74.59,97.72,42.93,20.89,115.9,54.16,,145.94,66.48,65.21,199.41,21.22,72.91,46.44,37.26,93.75,83.36,41.11,27.64,26.68,70.7,78.1,56.25,39.99,43.07,23.21,18.03,82.87,13.33,58.8,73.45,96.6,41.79,20.61,114.93,52.78,,144.81,65.31,64.88,194.42,21.04,72.47,45.92,37.04,92.25,82.62,40.6,27.2,26.41,69.8,77.15,55.45,39.52,42.49,23.05,18.17,83.06,13.53,59.22,73.99,97.48,41.81,20.89,115.35,52.86,,145.78,65.47,65.12,194.55,21.2,72.52,46.23,37.08,93.45,82.75,41.03,27.2,26.57,69.84,78.06,56.11,39.57,43.04,23.13,861509600,7670400,50178000,6265300,7784900,4971000,5760000,37130100,5031800,13842700,,3948700,6795500,3445044,13106903,42432300,10155100,19105100,13570200,9368000,4280843,14854666,50387700,6779200,10588600,2496000,6665700,7108800,16208000,19096200
2013-01-24,13.74,61.17,13.67,50.48,63.12,71.16,43.02,14.8,72.7,48.89,,117.88,52.08,51.59,124.86,15.14,53.63,33.94,26.05,68.98,53.79,28.88,22.54,23.71,50.99,60.28,47.31,36.84,24.66,18.29,16.09,82.62,13.67,59.3,75.32,96.6,43.07,21.02,115.5,53.95,,144.96,67.35,65.06,195.43,20.95,73.1,46.37,37.11,93.31,83.34,41.03,27.63,26.93,70.42,78.09,56.22,39.89,42.59,23.26,16.63,83.92,13.83,59.51,75.54,97.74,43.37,21.1,116.37,54.87,,146.74,67.69,65.98,196.04,21.18,73.23,46.8,37.25,93.6,83.46,41.23,28.07,26.94,70.85,78.49,56.44,40.04,43.08,23.33,16.08,82.12,13.47,59.01,74.41,96.0,42.62,20.82,115.28,53.92,,144.06,66.56,64.88,194.15,20.93,72.84,46.08,37.0,93.02,82.61,40.96,27.47,26.58,70.2,77.62,55.9,39.72,42.57,23.12,16.43,83.34,13.47,59.14,74.41,96.0,42.69,20.85,115.49,54.03,,145.0,66.56,65.17,194.94,21.1,72.96,46.24,37.2,93.58,83.09,40.98,27.7,26.59,70.68,77.78,56.03,39.83,42.84,23.22,1460852400,8071300,68340000,5430800,7292200,5816300,5149600,47256000,4895800,13608000,,4638200,8484600,4320256,4651771,58396800,9369700,20008200,13258900,5157200,4564295,13096122,101739300,6819800,8877200,1546700,4221700,6794000,11716000,27417000
