Date,Open,High,Low,Close,Adj Close,Volume
2013-01-02,9111.9404296875,9375.2900390625,9111.9404296875,9304.3798828125,9304.3798828125,0
2013-01-03,9304.650390625,9470.0703125,9281.080078125,9458.4501953125,9458.4501953125,0
2013-01-04,9458.5,9458.5,9331.0,9382.8896484375,9382.8896484375,0
2013-01-07,9379.73046875,9408.25,9252.4697265625,9282.509765625,9282.509765625,0
2013-01-08,9282.51953125,9340.1298828125,9193.849609375,9215.26953125,9215.26953125,0
2013-01-09,9215.4599609375,9319.33984375,9215.4599609375,9297.2998046875,9297.2998046875,0
2013-01-10,9297.2197265625,9326.2001953125,9228.1904296875,9299.1396484375,9299.1396484375,0
2013-01-11,9293.759765625,9298.23046875,9202.0498046875,9252.3095703125,9252.3095703125,0
2013-01-14,9256.990234375,9361.1201171875,9256.990234375,9312.919921875,9312.919921875,0
2013-01-15,9312.5400390625,9318.580078125,9240.8701171875,9249.900390625,9249.900390625,0
2013-01-16,9249.7900390625,9294.1396484375,9180.0400390625,9294.1396484375,9294.1396484375,0
2013-01-17,9294.5595703125,9385.849609375,9266.830078125,9367.6201171875,9367.6201171875,0
2013-01-18,9367.830078125,9389.490234375,9320.330078125,9338.8798828125,9338.8798828125,0
2013-01-21,9341.2900390625,9346.25,9298.1904296875,9312.7197265625,9312.7197265625,0
2013-01-22,9314.240234375,9338.650390625,9264.7900390625,9338.650390625,9338.650390625,0
2013-01-23,9338.650390625,9352.0,9308.3798828125,9333.66015625,9333.66015625,0
2013-01-24,9333.6396484375,9373.330078125,9207.650390625,9258.7099609375,9258.7099609375,0
2013-01-28,9259.1396484375,9261.9296875,9063.150390625,9082.58984375,9082.58984375,0
2013-01-29,9082.58984375,9127.669921875,9038.1904296875,9125.900390625,9125.900390625,0
2013-01-30,9125.349609375,9125.349609375,8966.5400390625,8971.0498046875,8971.0498046875,0
2013-01-31,8974.0703125,9061.7001953125,8945.01953125,9061.7001953125,9061.7001953125,0
2013-02-01,9061.7001953125,9152.259765625,9061.7001953125,9115.400390625,9115.400390625,0
2013-02-04,9115.23046875,9115.23046875,8953.759765625,9012.8701171875,9012.8701171875,0
2013-02-05,9012.8701171875,9079.7900390625,8928.759765625,8977.75,8977.75,0
2013-02-06,8977.3603515625,9003.3798828125,8861.1201171875,8906.1201171875,8906.1201171875,0
2013-02-07,8901.2998046875,8974.9404296875,8762.849609375,8809.6904296875,8809.6904296875,0
2013-02-08,8809.8603515625,8847.1396484375,8769.1298828125,8846.650390625,8846.650390625,0
2013-02-13,8846.51953125,8878.6298828125,8821.6298828125,8833.3798828125,8833.3798828125,0
2013-02-14,8833.580078125,8833.580078125,8740.3603515625,8773.650390625,8773.650390625,0
2013-02-15,8773.58984375,8841.400390625,8738.5703125,8815.9501953125,8815.9501953125,0
2013-02-18,8816.1904296875,8825.75,8750.1201171875,8825.6904296875,8825.6904296875,0
2013-02-19,8827.48046875,8885.3701171875,8780.8896484375,8786.6103515625,8786.6103515625,0
2013-02-20,8786.4501953125,8789.740234375,8593.51953125,8618.7998046875,8618.7998046875,0
2013-02-21,8618.01953125,8630.7099609375,8470.7998046875,8556.5498046875,8556.5498046875,0
2013-02-22,8559.3203125,8631.1396484375,8549.080078125,8624.919921875,8624.919921875,0
2013-02-25,8625.650390625,8678.419921875,8597.2802734375,8602.830078125,8602.830078125,0
2013-02-26,8602.5498046875,8648.169921875,8497.990234375,8614.7197265625,8614.7197265625,0
2013-02-27,8614.669921875,8644.41015625,8565.1201171875,8640.0400390625,8640.0400390625,0
2013-02-28,8639.740234375,8731.51953125,8590.740234375,8696.1796875,8696.1796875,0
2013-03-01,8695.4404296875,8695.4404296875,8586.9501953125,8672.8798828125,8672.8798828125,0
2013-03-04,8670.4599609375,8670.4599609375,8554.3701171875,8599.1396484375,8599.1396484375,0
2013-03-05,8599.6201171875,8719.2197265625,8578.400390625,8578.400390625,8578.400390625,0
2013-03-06,8579.2099609375,8919.0,8579.2099609375,8896.0595703125,8896.0595703125,0
2013-03-07,8895.9599609375,9068.8095703125,8895.9599609375,8974.9599609375,8974.9599609375,0
2013-03-08,8974.48046875,9014.75,8898.1796875,8962.599609375,8962.599609375,0
2013-03-11,8965.6298828125,8997.41015625,8884.330078125,8996.25,8996.25,0
2013-03-12,8996.169921875,9009.0595703125,8896.900390625,8908.08984375,8908.08984375,0
2013-03-13,8906.849609375,8947.9599609375,8805.0302734375,8806.3896484375,8806.3896484375,0
2013-03-14,8806.3798828125,8869.2001953125,8736.759765625,8839.1796875,8839.1796875,0
